Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Simon G.,Duckworth J.,125,21,430,1730,4.5,1.18,6-2 6-2
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Kokkinakis T.,Kokkinakis T.,25,149,1365,341,1.44,2.62,4-6 3-6
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Golubev A.,Chardy J.,31,72,1195,691,1.28,3.5,6-4 6-4
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Tomic B.,Tomic B.,35,53,1090,797,2.25,1.57,5-7 6-7
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Copil M.,Kukushkin M.,69,201,705,242,1.53,2.37,6-4 4-6 6-4
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Anderson K.,Kubot L.,Kubot L.,16,177,2080,282,1.28,3.5,6-7 4-6
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Matosevic M.,Johnson S.,37,77,999,657,2.0,1.72,2-6 7-6 7-5
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Nieminen J.,Nieminen J.,123,73,440,689,2.1,1.66,6-4 1-6 4-6
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Klizan M.,Melzer J.,Klizan M.,34,110,1094,505,1.66,2.1,6-7 7-6 6-1
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Williams R.,Millman J.,Millman J.,220,153,221,328,2.75,1.4,3-6 1-6
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Berlocq C.,Dolgopolov O.,23,71,1455,700,1.25,3.75,6-2 6-3
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Groth S.,Groth S.,84,85,595,586,1.4,2.75,3-6 2-6
Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Klizan M.,Dolgopolov O.,Klizan M.,34,23,1094,1455,2.75,1.4,1-6 7-6 7-6
Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Johnson S.,Nishikori K.,Nishikori K.,37,5,999,5025,6.5,1.11,4-6 5-7
Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Chardy J.,Dimitrov G.,11,31,3645,1195,1.3,3.4,3-6 6-4 7-6
Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Kokkinakis T.,Tomic B.,Tomic B.,149,53,341,797,3.0,1.36,6-7 1-6
Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Kukushkin M.,Raonic M.,8,69,4440,705,1.22,4.0,6-3 6-4
Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Kubot L.,Groth S.,Groth S.,177,85,282,586,2.1,1.66,4-6 7-6 6-7
Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Duckworth J.,Nieminen J.,Duckworth J.,125,73,430,689,2.25,1.57,4-6 7-6 6-3
Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Millman J.,Federer R.,Federer R.,153,2,328,9625,10.0,1.06,6-4 4-6 3-6
Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Raonic M.,Groth S.,Raonic M.,8,85,4440,586,1.16,5.0,7-6 3-6 7-6
Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Klizan M.,Dimitrov G.,Dimitrov G.,34,11,1094,3645,3.5,1.28,3-6 4-6
Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Tomic B.,Nishikori K.,5,53,5025,797,1.33,3.25,6-0 6-4
Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Duckworth J.,Federer R.,Federer R.,125,2,430,9625,11.0,1.05,0-6 1-6
Brisbane International,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3,Raonic M.,Nishikori K.,Raonic M.,8,5,4440,5025,2.75,1.44,6-7 7-6 7-6
Brisbane International,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Federer R.,Federer R.,11,2,3645,9625,3.75,1.28,2-6 2-6
Brisbane International,2015-01-11,ATP250,Outdoor,Hard,The Final,3,Federer R.,Raonic M.,Federer R.,2,8,9625,4440,1.25,4.0,6-4 6-7 6-4
Chennai Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Muller G.,Muller G.,116,46,470,855,2.1,1.66,7-6 1-6 6-7
Chennai Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Coric B.,Haase R.,Coric B.,95,80,557,620,1.72,2.0,6-2 6-2
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Sijsling I.,Ymer E.,Ymer E.,81,227,619,210,1.33,3.25,4-6 6-4 3-6
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Berankis R.,Vanni L.,Berankis R.,83,148,605,353,1.33,3.25,6-1 2-6 7-5
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Prashanth V.,Vesely J.,Vesely J.,557,65,56,741,5.5,1.14,2-6 1-6
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Lacko L.,Bedene A.,156,88,325,576,1.83,1.83,7-6 6-3
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Ramanathan R.,Ito T.,Ito T.,285,87,172,576,3.0,1.36,3-6 3-6
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Donskoy E.,Garcia-Lopez G.,36,129,1020,421,1.9,1.8,6-7 6-2 6-3
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Gonzalez A.,Carreno-Busta P.,Carreno-Busta P.,109,49,507,841,2.5,1.5,1-6 3-6
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Devvarman S.,Lu Y.H.,38,136,993,381,1.33,3.25,6-3 6-4
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Gojowczyk P.,Gojowczyk P.,113,102,496,539,2.5,1.5,0-6 1-6
Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Goffin D.,Berankis R.,Goffin D.,22,83,1599,605,1.25,3.75,6-0 4-6 7-6
Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Ymer E.,Muller G.,Muller G.,227,46,210,855,4.33,1.2,4-6 3-6
Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Haider-Maurer A.,Vesely J.,Haider-Maurer A.,79,65,621,741,3.0,1.36,6-7 6-4 6-4
Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3,Coric B.,Wawrinka S.,Wawrinka S.,95,4,557,5120,3.0,1.36,1-6 4-6
Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Garcia-Lopez G.,Ito T.,Garcia-Lopez G.,36,87,1020,576,1.44,2.62,6-7 6-2 6-0
Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3,Carreno-Busta P.,Lu Y.H.,Lu Y.H.,49,38,841,993,2.62,1.44,4-6 4-6
